left_type	left_label	operator	right_type	right_label	issue	expected_count	reason
Int32	typemin	mod	Int8	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int32	typemin	mod	Int16	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int32	typemin	mod	Int32	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int32	typemin	mod	Int64	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int32	typemin	mod	Int128	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int64	typemin	mod	Int8	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int64	typemin	mod	Int16	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int64	typemin	mod	Int32	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int64	typemin	mod	Int64	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int64	typemin	mod	Int128	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int128	typemin	mod	Int8	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int128	typemin	mod	Int16	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int128	typemin	mod	Int32	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int128	typemin	mod	Int64	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
Int128	typemin	mod	Int128	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
UInt64	typemax	ANY	ANY	ANY	#9422	1080	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
UInt128	typemax	ANY	ANY	ANY	#9422	1080	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
